"Gene","p.adj_Control_vs_Ctrl_HFHS","p.adj_Lact_HFHS_vs_Lactation","p.adj_Postweaning_vs_Pw_HFHS","p.signif_Control_vs_Ctrl_HFHS","p.signif_Lact_HFHS_vs_Lactation","p.signif_Postweaning_vs_Pw_HFHS","n1_Control_vs_Ctrl_HFHS","n1_Lact_HFHS_vs_Lactation","n1_Postweaning_vs_Pw_HFHS","n2_Control_vs_Ctrl_HFHS","n2_Lact_HFHS_vs_Lactation","n2_Postweaning_vs_Pw_HFHS"
"Mettl27",0.24,0.00247,0.284,"ns","***","ns",5,5,3,5,7,5
"Cenpv",0.169,0.0144,0.528,"ns","**","ns",5,5,3,5,7,5
"Olfml2b",0.929,0.013,0.855,"ns","***","ns",5,5,3,5,7,5
"Magi1",0.19,0.000268,0.931,"ns","****","ns",5,5,3,5,7,5
"P3h4",0.316,0.0195,0.8,"ns","**","ns",5,5,3,5,7,5
"Ptch2",0.617,0.00937,0.815,"ns","**","ns",5,5,3,5,7,5
"Rara",0.627,0.0419,0.9,"ns","**","ns",5,5,3,5,7,5
"Suox",0.157,0.00681,0.534,"ns","***","ns",5,5,3,5,7,5
"Gm5627",0.325,0.000573,0.478,"ns","****","ns",5,5,3,5,7,5
"Rhbdf2",0.552,0.0376,0.547,"ns","**","ns",5,5,3,5,7,5
"Hoxa7",0.0777,0.00552,0.804,"*","***","ns",5,5,3,5,7,5
"Stambpl1",0.43,0.0371,0.43,"ns","**","ns",5,5,3,5,7,5
"Gsdme",0.789,0.0357,0.762,"ns","**","ns",5,5,3,5,7,5
"Chrd",0.538,0.017,0.949,"ns","**","ns",5,5,3,5,7,5
"Hdac9",0.067,4e-04,0.883,"*","****","ns",5,5,3,5,7,5
"Ncan",0.113,0.000255,0.891,"*","****","ns",5,5,3,5,7,5
"Usp6nl",0.244,0.0395,0.244,"ns","**","ns",5,5,3,5,7,5
"Zkscan17",0.674,0.024,0.431,"ns","**","ns",5,5,3,5,7,5
"Golga7b",0.192,0.00016,0.25,"ns","****","ns",5,5,3,5,7,5
"Dll4",0.98,0.0352,0.799,"ns","**","ns",5,5,3,5,7,5
"Wrb",0.68,0.0492,0.68,"ns","**","ns",5,5,3,5,7,5
"Lpin2",0.286,0.0407,0.395,"ns","**","ns",5,5,3,5,7,5
"Reep4",0.702,0.0317,0.702,"ns","**","ns",5,5,3,5,7,5
"Btbd10",0.493,0.0114,0.744,"ns","***","ns",5,5,3,5,7,5
"Tmem151a",0.682,0.0178,0.82,"ns","**","ns",5,5,3,5,7,5
"Kif21b",0.0743,0.02,0.65,"*","**","ns",5,5,3,5,7,5
"Wt1",0.643,0.00377,0.726,"ns","***","ns",5,5,3,5,7,5
